"Date","Price","Open","High","Low","Change %"
"Dec 21","14,448.5","14,344.0","14,448.5","14,335.0","0.90%"
"Nov 21","14,320.0","14,185.0","14,392.5","14,182.5","1.09%"
"Oct 21","14,165.0","14,310.0","14,344.0","14,040.0","-1.01%"
"Sep 21","14,310.0","14,265.0","14,335.0","14,176.5","0.32%"
"Aug 21","14,265.0","14,465.0","14,485.0","14,260.0","-1.35%"
"Jul 21","14,460.0","14,510.0","14,572.5","14,434.5","-0.24%"
"Jun 21","14,495.0","14,265.0","14,560.0","14,183.0","1.54%"
"May 21","14,275.0","14,450.0","14,480.0","14,140.0","-1.14%"
"Apr 21","14,440.0","14,530.0","14,639.0","14,424.5","-0.55%"
"Mar 21","14,520.0","14,250.0","14,582.0","14,232.5","1.97%"
"Feb 21","14,240.0","14,035.0","14,275.0","13,866.0","1.57%"
"Jan 21","14,020.0","13,910.0","14,217.5","13,862.5","-0.14%"
"Dec 20","14,040.0","14,117.5","14,274.0","14,050.0","-0.35%"
"Nov 20","14,090.0","14,650.0","14,717.5","13,992.5","-3.63%"
"Oct 20","14,620.0","14,810.0","14,907.0","14,602.5","-1.48%"
"Sep 20","14,840.0","14,535.0","14,974.0","14,535.0","1.92%"
"Aug 20","14,560.0","14,605.0","14,881.0","14,465.0","0.21%"
"Jul 20","14,530.0","14,245.0","14,860.0","14,245.0","2.47%"
"Jun 20","14,180.0","14,630.0","14,630.0","13,850.0","-2.71%"
"May 20","14,575.0","14,960.0","15,152.5","14,607.5","-1.69%"
"Apr 20","14,825.0","16,325.0","16,575.0","14,857.5","-9.05%"
"Mar 20","16,300.0","14,355.0","16,640.0","14,095.0","13.67%"
"Feb 20","14,340.0","13,665.0","14,347.5","13,600.0","5.05%"
"Jan 20","13,650.0","13,872.5","13,970.0","13,570.0","-1.66%"
"Dec 19","13,880.0","14,105.0","14,133.5","13,862.5","-1.56%"
"Nov 19","14,100.0","14,050.0","14,117.5","13,967.5","0.48%"
"Oct 19","14,032.0","14,177.5","14,217.5","13,985.0","-1.11%"
"Sep 19","14,190.0","14,185.5","14,234.5","13,917.5","0.07%"
"Aug 19","14,180.0","14,060.0","14,360.0","14,060.0","1.20%"
"Jul 19","14,012.0","14,082.5","14,170.0","13,887.5","-0.80%"
"Jun 19","14,125.0","14,205.0","14,355.0","14,080.0","-1.02%"
"May 19","14,270.0","14,205.0","14,527.5","14,205.0","0.18%"
"Apr 19","14,245.0","14,225.0","14,265.0","13,995.0","0.07%"
